Robot	TIME_START	TIME_END	AP_NAME	ACTION_ERROR(waiting, aborted)	DOCK_TRY(Position incorrect)	DOCK_CORRECT(Position correct)	UNDOCK_INCORRECT(Departing failed)
robotone	2023-10-03 11:00:17	2023-10-03 11:00:17	C0309	1	3	1	0
robotone	2023-10-03 11:00:17	2023-10-03 11:00:17	R2D2	1	3	0	0
robotone	2023-10-03 11:00:17	2023-10-03 11:00:17	SLAVE0	0	2	1	0
robotone	2023-10-03 11:00:17	2023-10-03 11:00:17	IPS0	0	2	1	0
robotone	2023-10-03 11:00:17	2023-10-03 11:00:17	C3P0	0	2	1	0
robottwo	2023-10-03 11:00:17	2023-10-03 11:00:17	C0309	2	3	0	1
robottwo	2023-10-03 11:00:17	2023-10-03 11:00:17	C0309	2	3	0	1
robottwo	2023-10-03 11:00:17	2023-10-03 11:00:17	IPS0	2	3	0	1
robottwo	2023-10-03 11:00:17	2023-10-03 11:00:17	C0309	0	2	1	0
robottwo	2023-10-03 11:00:17	2023-10-03 11:00:17	IPS0	2	2	0	0
robottwo	2023-10-03 11:00:17	2023-10-03 11:00:17	ATAT0	0	2	1	0
robottwo	2023-10-03 11:00:17	2023-10-03 11:00:17	C3P0	0	2	1	0
robottwo	2023-10-03 11:00:17	2023-10-03 11:00:17	XWING0	2	2	0	0
robottwo	2023-11-03 14:00:17	2023-10-03 11:00:17	C0309	0	2	1	0
robottwo	2023-10-03 11:00:17	2023-10-03 11:00:17	XWING0	2	3	0	0
robottwo	2023-10-03 11:00:17	2023-10-03 11:00:17	C3P0	2	2	0	0
robotthree	2023-10-03 11:00:17	2023-10-03 11:00:17	C0309	2	3	0	1
robotthree	2023-10-03 11:00:17	2023-10-03 11:00:17	XWING0	0	2	1	0
robotthree	2023-10-03 11:00:17	2023-10-03 11:00:17	ATAT0	2	2	0	0
robotthree	2023-10-03 11:00:17	2023-10-03 11:00:17	IPS0	0	2	1	0
robotthree	2023-10-03 11:00:17	2023-10-03 11:00:17	C3P0	2	2	0	0
robotthree	2023-10-03 11:00:17	2023-10-03 11:00:17	TIE0	0	2	1	0
robotthree	2023-10-03 11:00:17	2023-10-03 11:00:17	ATAT0	0	2	1	0
robotthree	2023-10-03 11:00:17	2023-10-03 11:00:17	C3P0	2	3	0	0
robotthree	2023-10-03 11:00:17	2023-10-03 11:00:17	IPS0	0	2	1	0
robotthree	2023-10-03 11:00:17	2023-10-03 11:00:17	XWING0	0	2	1	0
robotthree	2023-10-03 11:00:17	2023-10-03 11:00:17	C0309	0	2	1	0
